HUC_12,pCanopy
010100020101,77.6917333925
010100020102,76.5525961429
010100020103,78.2424917663
010100020104,77.493280472
010100020105,75.656061744
010100020201,78.0462299542
010100020202,78.2637727907
010100020203,76.4398962585
010100020204,75.8832361457
010100020301,78.4632212922
010100020302,76.1246793115
010100020303,76.5505111524
010100020304,74.9429884246
010100020305,76.8011718038
010100020306,76.1273158121
010100020307,77.7208875628
010100020308,75.3804472604
010100020401,76.7898819562
010100020402,77.5098641035
010100020403,77.3257458471
010100020404,77.1736951473
010100020405,76.5279763817
010100020406,77.6796426292
010100020501,77.9818645199
010100020502,77.853223192
010100020503,75.5866478895
010100020504,75.5280673289
010100020505,74.4246841055
010100020601,71.2851988776
010100020602,75.5623972586
010100020701,77.8483758928
010100020702,77.6309359103
010100020703,75.7044685219
010100020704,74.4473121451
010100020705,72.6363272165
010100020706,72.9255467294
010100020707,75.6453165384
010100020708,75.8923203964
010100020709,74.0778077325
010100020710,70.6157583481
010100020711,74.4826853171
010100030101,76.2872878562
010100030102,77.6029013412
010100030103,81.4058185989
010100030104,76.6696431106
010100030105,76.1354105025
010100030201,76.7333288683
010100030202,71.0472382124
010100030203,71.9858363487
010100030204,70.7839428133
010100030205,72.3008463992
010100030206,67.9908657414
010100030207,71.7374886188
010100030301,49.5830182101
010100030302,53.226838782
010100030303,67.1549001463
010100030304,43.4954601293
010100030305,52.7861940547
010100030306,65.4203202155
010100030307,69.7961344661
010100030308,68.0964172416
010100030309,72.522791934
010100030310,72.3289837197
010100030401,71.9172582809
010100030402,47.0724177578
010100030403,58.0611076828
010100040101,77.0958308338
010100040102,73.129901113
010100040103,75.1837851448
010100040104,74.3446163548
010100040201,75.0982028241
010100040202,77.8648898548
010100040203,72.4120227903
010100040301,75.4532840807
010100040302,70.2963692331
010100040303,74.702118655
010100040304,75.967292022
010100040305,68.001879346
010100040306,74.4251969324
010100040401,70.874159863
010100040402,69.3614535847
010100040501,72.9639882999
010100040502,65.9840331428
010100040503,71.7849505654
010100040504,70.3466344466
010100040505,71.4317533332
010100040506,70.0924859836
010100040601,73.5724535973
010100040602,72.0649469333
010100040603,72.9181728243
010100040604,70.9862038529
010100040605,71.1066296611
010100040606,71.2851967074
010100040701,79.2373197601
010100040702,75.5108650779
010100040703,75.583837076
010100040801,71.6795591366
010100040802,72.8574320127
010100040803,74.6513116982
010100040804,74.2383264237
010100040805,73.9268981919
010100040901,69.8071319201
010100040902,74.6586786413
010100040903,71.1481350254
010100040904,63.3553386682
010100040905,70.2466754197
010100040906,75.1463296895
010100040907,73.5900737886
010100040908,75.6667842392
010100040909,67.6432490801
010100041001,52.8348857326
010100041002,73.3920303714
010100041003,74.2296230599
010100041004,73.5844381081
010100041005,74.4038468321
010100041006,65.1847970055
010100041007,52.1832226322
010100041008,47.6887205009
010100041009,29.4257983302
010100041101,42.9115868292
010100041102,30.9664290125
010100041103,69.5015463472
010100041104,69.4297683655
010100041105,65.1316354234
010100041106,64.8194972067
010100041107,59.2024793998
010100041108,57.0799730207
010100041109,29.723866118
010100041110,37.9412782364
010100041111,35.1509445964
010100041112,34.9076474981
010100041113,22.3333272755
010100050101,71.4554951943
010100050102,64.8105597082
010100050201,71.1991822828
010100050202,44.193080312
010100050203,65.7522450271
010100050301,74.2590172228
010100050302,65.8318850701
010100050303,52.8814720564
010100050304,61.0706778185
010100050305,64.8593141769
010100050306,51.006593947
010100050307,41.6752626394
010100050308,45.187745845
010100060101,73.4926496413
010100060102,73.023612769
010100060103,65.1313506227
010100060104,72.2947191317
010100060105,77.1391596527
010100060106,75.1848521091
010100060107,76.3268206533
010100060108,68.5640769389
010100060109,74.6849519125
010100060201,73.5330066932
010100060202,72.4337439684
010100060203,68.666046184
010100060204,72.5285450082
010100060205,72.5751559333
010100060206,74.847173406
010100060207,76.2891561579
010100060208,72.6684292704
010100060305,66.2801915021
010100060306,66.4851770286
010100060307,72.7337526205
010100060312,69.0160029431
010100060313,71.6876473855
010100070101,73.0544145989
010100070102,66.6125738358
010100070103,71.4690903936
010100070204,63.8854054054
010100070205,73.1601091653
