HUC_12,R45CANOPY
010100020101,69.6457732949
010100020102,69.789829303
010100020103,68.5561101549
010100020104,74.5844346549
010100020105,66.5377334994
010100020201,73.0783436734
010100020202,71.8300426894
010100020203,72.9769467213
010100020204,70.5496340054
010100020301,73.3662127346
010100020302,73.0488126649
010100020303,71.2994669175
010100020304,67.8617622436
010100020305,73.6482896048
010100020306,72.3082980012
010100020307,72.3683998388
010100020308,68.9504226268
010100020401,73.9150405802
010100020402,71.9575118967
010100020403,68.5822675672
010100020404,74.8104204282
010100020405,74.395693611
010100020406,65.7936375052
010100020501,69.7833496572
010100020502,71.8205269692
010100020503,72.6427432217
010100020504,72.8810810811
010100020505,71.5022970904
010100020601,72.9211895911
010100020602,71.6266891892
010100020701,73.0496163683
010100020702,74.224863794
010100020703,70.7478448276
010100020704,66.4950672646
010100020705,68.0416299171
010100020706,73.109138155
010100020707,75.9571428571
010100020708,73.1266302061
010100020709,74.7114261885
010100020710,72.4597527887
010100020711,68.70288586
010100030101,73.6197957581
010100030102,72.7406382049
010100030103,77.0171095741
010100030104,76.3133848134
010100030105,67.9363057325
010100030201,70.5958291956
010100030202,67.306779661
010100030203,62.275308888
010100030204,74.7725490196
010100030205,74.5551050114
010100030206,71.7619655392
010100030207,61.3575382612
010100030301,43.4811625404
010100030302,51.3904371063
010100030303,64.8490566038
010100030304,47.5642324888
010100030305,49.652924257
010100030306,60.6436285097
010100030307,70.7905405405
010100030308,71.5926658278
010100030309,67.0767813268
010100030310,67.2555033391
010100030401,73.1883992806
010100030402,46.0844202039
010100030403,57.2094412907
010100040101,72.7629186072
010100040102,62.7523155064
010100040103,70.4140578854
010100040104,66.6091794159
010100040201,75.2122323637
010100040202,73.5053493594
010100040203,73.2915474146
010100040301,70.6952402436
010100040302,68.4391778523
010100040303,67.2075441153
010100040304,73.9415712594
010100040305,68.4757281553
010100040306,71.583255814
010100040401,67.1236384213
010100040402,67.5096860387
010100040501,68.0008548632
010100040502,63.3622876557
010100040503,71.1313728388
010100040504,67.1468388851
010100040505,69.292412231
010100040506,66.2646417672
010100040601,69.5103244838
010100040602,73.4887323944
010100040603,70.1542553191
010100040604,64.8200400802
010100040605,65.6192771084
010100040606,64.314336826
010100040701,72.2300349984
010100040702,70.801579806
010100040703,69.0072030443
010100040801,65.5594237695
010100040802,74.1235792019
010100040803,68.770120989
010100040804,70.8641763275
010100040805,68.878505274
010100040901,61.2173310911
010100040902,70.9188923802
010100040903,69.6209865471
010100040904,55.7266629788
010100040905,66.9906970087
010100040906,72.3916713562
010100040907,66.137149443
010100040908,69.7972027972
010100040909,65.6768338524
010100041001,55.8428146333
010100041002,71.8879093199
010100041003,72.2252584934
010100041004,69.5046337158
010100041005,69.2665621325
010100041006,61.0076699286
010100041007,54.0604651163
010100041008,46.9597077469
010100041009,44.2713462105
010100041101,46.1606274856
010100041102,41.6166666667
010100041103,70.1103149724
010100041104,68.5590185676
010100041105,68.1322604979
010100041106,61.4238833181
010100041107,52.8134
010100041108,56.5187490275
010100041109,44.0097527473
010100041110,48.1933676281
010100041111,54.3520485584
010100041112,41.2120363215
010100041113,36.9250777495
010100050101,65.3373493976
010100050102,62.1505083065
010100050201,73.8295725139
010100050202,59.2627268348
010100050203,68.5011600928
010100050301,60.2101083032
010100050302,67.0605759682
010100050303,62.2994752995
010100050304,63.0503676981
010100050305,70.31270323
010100050306,57.6739523666
010100050307,53.2279643823
010100050308,57.0224244394
010100060101,68.5155997227
010100060102,63.8998740554
010100060103,68.1211939403
010100060104,69.0516673409
010100060105,73.1193809875
010100060106,74.501936912
010100060107,72.5064878893
010100060108,72.0773195876
010100060109,70.8732748974
010100060201,71.9700260643
010100060202,72.3683998388
010100060203,53.0351951033
010100060204,70.87962224
010100060205,69.787338459
010100060206,72.4024297646
010100060207,74.2878469302
010100060208,70.3907809111
010100060305,61.2255102041
010100060307,67.9242424242
010100060312,66.8493060145
010100060313,64.5208966565
010100070101,70.1569426752
010100070102,65.945816351
010100070103,62.6857909913
010100070204,77.1677018634
010100070205,62.3550347222
010100070206,60.5016091954
010100070207,60.2362076011
010100070208,69.091934085
010100070209,65.0924489796
010100070301,68.7544757033
010100070302,66.7207207207
010100070303,55.101511879
010100070304,70.9217429005
010100070305,71.4527935223
010100070306,63.2869665513
010100070401,60.8255501879
010100070402,63.8744219139
010100070403,60.9320425209
010100070404,68.8779700792
010100070405,71.5604470803
010100070502,46.9189189189
010100070503,72.1599157485
010100070504,74.3265592151
010100070505,72.6066616766
010100070506,70.8455882353
010100070507,69.3077377437
010100070601,68.7145187602
010100070602,69.4429735234
010100070603,75.3671820098
010100070604,73.8931896129
010100070605,72.0596904937
010100070606,62.9445350734
010100070607,66.0304823912
010100070701,72.2440209268
010100070702,73.0385604113
010100070703,66.0466056608
010100080101,73.62991481
010100080102,67.455239015
010100080401,52.7389277389
010100080403,69.7618772563
010100080404,68.0407816483
010100080405,57.7281730519
010100080406,72.0067662156
010100080407,72.1271547729
010100080408,73.2318392581
010100080503,62.5497982244
010100080504,51.1213450292
010100081107,49.2305838243
010100081108,48.5891065456
010100090601,49.7259958301
010100090603,65.1856589431
010100090604,34.5652620761
010100090605,53.8610508033
010100090607,56.4008833022
010100090608,57.1833534379
010100100101,61.0556853583
010100100102,52.4686774942
010100100201,39.0062918206
010100100202,56.1086386163
010100100203,50.0702335597
010100100204,62.0232688534
010100100205,57.5955193101
010100100206,50.2373481781
010100100207,61.2177177177
010100110103,57.0443773234
010200010101,66.8871733967
010200010102,69.3991574513
010200010103,71.2995269413
