name,huc12,states,PIMPV_2021,PIMPV_2020,areaacres,areasqkm
Long Branch-Tug Fork,50702010303,"KY,VA,WV",0.298595445,0.298595445,22894.84,92.65
Pawpaw Creek,50702010306,"KY,VA",0.558559582,0.558559582,11747.15,47.54
Upper Elk Creek-Knox Creek,50702010307,"KY,VA,WV",0.642129234,0.642129234,19537.13,79.06
Beech Creek-Tug Fork,50702010308,"KY,WV",0.802477125,0.802477125,17350,70.21
Peter Creek,50702010309,KY,1.24647788,1.24647788,22077.34,89.34
Blackberry Creek-Tug Fork,50702010310,"KY,WV",1.255107898,1.255107898,24932.75,100.9
Sycamore Creek-Tug Fork,50702010312,"KY,WV",3.085126017,3.085126017,14956.91,60.53
Pond Creek,50702010313,KY,2.420641469,2.420641469,25891.1,104.78
Upper Big Creek,50702010501,KY,1.827276011,1.827276011,12930.68,52.33
Lower Big Creek,50702010502,KY,0.814355469,0.814355469,25102.72,101.59
Upper Wolf Creek,50702010503,KY,0.986649939,0.986649939,23248.59,94.08
Pigeonroost Fork,50702010504,KY,0.39237228,0.39237228,16022.93,64.84
Lower Wolf Creek,50702010505,KY,0.564944502,0.564944502,13928.93,56.37
Miller Creek-Tug Fork,50702010506,"KY,WV",3.253797795,3.253797795,36033.3,145.82
Jennie Creek-Tug Fork,50702010602,"KY,WV",1.748516882,1.748516882,23341.96,94.46
Coldwater Fork,50702010603,KY,1.24440985,1.24440985,18868.65,76.36
Rockhouse Fork,50702010604,KY,0.871701119,0.871701119,18436.93,74.61
Upper Rockcastle Creek,50702010605,KY,2.61125564,2.61125564,26143.39,105.8
Lower Rockcastle Creek,50702010606,KY,0.792824843,0.792824843,14069.99,56.94
Drag Creek-Tug Fork,50702010607,"KY,WV",0.799619466,0.799619466,30598.29,123.83
Lost Creek-Tug Fork,50702010609,"KY,WV",1.388820371,1.388820371,17430.53,70.54
Feds Creek-Levisa Fork,50702020202,"KY,VA",1.052222584,1.052222584,30140.97,121.98
Lick Creek-Levisa Fork,50702020203,KY,0.845958656,0.845958656,19935.86,80.68
Grapevine Creek-Levisa Fork,50702020204,KY,0.7896878,0.7896878,20291.89,82.12
South Fork Pound River-North Fork Pound River,50702020501,"KY,VA",0.5599736,0.5599736,23389.88,94.66
Pound River-John W. Flannagan Reservoir,50702020503,"KY,VA",0.998796516,0.998796516,37908.21,153.41
Upper Twin Branch-John W Flannagan Reservoir,50702020507,"KY,VA",0.73869059,0.73869059,8543.84,34.58
Upper Long Fork,50702020601,KY,0.322505702,0.322505702,10531.76,42.62
Lower Long Fork,50702020602,KY,0.776391675,0.776391675,10643.74,43.07
